P,I,U,hidden_1,hidden_2,hidden_3,T_1500
3,2,220,1.1369925,1.9530826,0.1392013,6.1905835e-10
3,2,250,3.055982,0.06170845,1.7431365,4.4483959e-10
3,3,50,-1.0653077,1.1202984,0.15236188,2.6267921e-08
3,3,60,-1.783749,2.0271835,-0.41195345,1.7550846e-08
3,3,70,-0.9356742,1.6692932,-0.06750928,1.0780503e-08
3,3,80,0.41327322,0.5925449,0.7007199,6.8868979e-09
3,3,90,1.0354193,0.042948782,1.2113057,5.1149551e-09
3,3,100,0.8411974,0.10248172,0.93243027,4.1309816e-09
3,3,120,0.48074722,0.16652286,0.83421475,3.0523465e-09
3,3,140,-0.044771776,0.4170699,0.54297364,2.4553977e-09
3,3,160,-0.48047194,0.76316094,0.7435065,2.0397965e-09
3,3,180,-1.709128,2.4579573,-0.12758993,1.7180577e-09
3,3,200,-1.3272994,3.0986707,-0.8144479,1.3654302e-09
3,3,220,0.22533366,2.1999984,-0.17718093,9.4799428e-10
3,3,250,1.7351514,1.416862,0.58872455,6.1640335e-10
3,4,60,1.8671739,0.7998061,0.19061057,1.7798671e-08
3,4,70,2.7799704,-0.72615784,1.1605638,1.094525e-08
3,4,80,2.8292415,-1.1146708,1.2973162,7.8855475e-09
3,4,90,2.842772,-1.3103797,1.7237214,6.2112662e-09
3,4,100,2.4756355,-1.0249555,1.4992985,5.1897144e-09
3,4,120,1.6893518,-0.26506606,1.075313,3.9480625e-09
3,4,140,0.88832307,0.38508928,0.7462899,3.1967553e-09
3,4,160,-0.13521259,1.2858982,-0.2311065,2.6376462e-09
3,4,180,-0.3732335,1.2904276,0.31656563,2.1828468e-09
3,4,200,-0.9702749,2.088058,0.48238444,1.7918537e-09
3,4,220,-1.4152427,3.656758,-1.2644542,1.4548137e-09
3,4,250,0.94475067,2.142696,-0.018161789,8.519215e-10
3,5,60,6.22192,-5.080844,1.9118968,2.9020965e-08
3,5,70,4.926687,-3.2077703,2.0515876,1.4115744e-08
3,5,80,4.72006,-3.1342175,2.1924927,9.9571103e-09
3,5,90,4.4100657,-2.8539884,2.2257576,7.71337e-09
3,5,100,4.191802,-2.7102637,2.2939975,6.3249859e-09
3,5,120,3.3218606,-1.5546817,1.6785322,4.7366049e-09
3,5,140,2.465505,-0.75249076,1.3591927,3.7932184e-09
3,5,160,1.8202381,-0.12371069,1.1475844,3.1204159e-09
